class_idx,class_name,precision,recall,f1,support
0,AnnualCrop,0.9781181619256017,0.9933333333333333,0.9856670341786108,450
1,Forest,0.9911894273127754,1.0,0.995575221238938,450
2,HerbaceousVegetation,0.9823788546255506,0.9911111111111112,0.9867256637168141,450
3,Highway,0.961139896373057,0.9893333333333333,0.9750328515111695,375
4,Industrial,0.9945652173913043,0.976,0.9851951547779273,375
5,Pasture,0.9866220735785953,0.9833333333333333,0.9849749582637729,300
6,PermanentCrop,0.9944598337950139,0.9573333333333334,0.9755434782608695,375
7,Residential,0.9911504424778761,0.9955555555555555,0.9933481152993349,450
8,River,0.9812332439678284,0.976,0.9786096256684492,375
9,SeaLake,1.0,0.9911111111111112,0.9955357142857143,450
